193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208
0.36584,0.36336,0.35828,0.35302,0.182,0.1716,0.18812,0.18734,0.18778,0.18736,0.18702,0.18428,0.26438,0.27768,0.26658,0.27536
0.37628,0.3699,0.35366,0.36894,0.18424,0.18892,0.19404,0.179,0.17082,0.1603,0.17362,0.18808,0.26866,0.28088,0.27868,0.26398
0.3605,0.37252,0.37756,0.36248,0.1771,0.17766,0.189,0.19026,0.17282,0.18284,0.17492,0.18626,0.28958,0.26698,0.25852,0.261
0.35886,0.38116,0.3779,0.3702,0.16764,0.18132,0.18434,0.18054,0.20258,0.18642,0.18828,0.17832,0.27092,0.2511,0.24948,0.27094
0.35386,0.3761,0.35634,0.35092,0.1666,0.20068,0.17368,0.1721,0.20936,0.17154,0.19392,0.19586,0.27018,0.25168,0.27606,0.28112
0.36252,0.36492,0.36792,0.35566,0.17732,0.18068,0.18136,0.18336,0.18686,0.18996,0.1903,0.18178,0.2733,0.26444,0.26042,0.2792
0.36652,0.3634,0.3708,0.37382,0.18438,0.17404,0.1786,0.1754,0.18078,0.18994,0.19054,0.18826,0.26832,0.27262,0.26006,0.26252
0.38128,0.35498,0.36322,0.3825,0.18668,0.18172,0.18102,0.1929,0.16812,0.18756,0.18306,0.18384,0.26392,0.27574,0.2727,0.24076
0.36852,0.37806,0.37304,0.35728,0.1877,0.18852,0.17332,0.17192,0.18364,0.17256,0.19004,0.19434,0.26014,0.26086,0.2636,0.27646
0.36328,0.36436,0.37018,0.37002,0.17734,0.17266,0.19314,0.18856,0.18894,0.19258,0.177,0.18054,0.27044,0.2704,0.25968,0.26088
0.36804,0.36812,0.37484,0.36436,0.19042,0.181,0.1788,0.175,0.17332,0.18078,0.18674,0.18826,0.26822,0.2701,0.25962,0.27238
0.3706,0.37262,0.3537,0.37458,0.17058,0.18692,0.16948,0.18416,0.18974,0.18508,0.19304,0.1847,0.26908,0.25538,0.28378,0.25656
